200 5023
1 2 102
1 10 253
1 11 174
1 17 33
1 21 236
1 22 316
1 24 321
1 30 127
1 34 157
1 36 189
1 41 55
1 52 140
1 54 209
1 58 196
1 61 161
1 62 102
1 65 244
1 66 397
1 69 391
1 75 290
1 77 307
1 82 69
1 85 284
1 86 304
1 88 309
1 89 62
1 93 246
1 94 350
1 98 306
1 102 349
1 111 193
1 112 233
1 121 366
1 125 323
1 128 130
1 130 275
1 137 5
1 139 327
1 141 83
1 146 111
1 151 219
1 155 18
1 157 14
1 160 89
1 162 287
1 163 345
1 164 56
1 168 348
1 180 34
1 183 154
1 190 211
1 191 82
1 195 106
1 199 377
2 6 295
2 9 44
2 17 116
2 19 27
2 20 273
2 33 353
2 40 71
2 41 283
2 47 192
2 49 397
2 51 234
2 56 363
2 60 125
2 63 138
2 64 257
2 66 288
2 69 351
2 74 240
2 76 69
2 81 125
2 85 85
2 88 117
2 94 15
2 99 35
2 101 391
2 102 323
2 105 150
2 108 249
2 112 299
2 121 64
2 123 217
2 124 374
2 128 374
2 137 109
2 139 395
2 142 209
2 148 37
2 150 253
2 154 260
2 155 54
2 159 256
2 163 363
2 165 304
2 166 238
2 168 368
2 173 115
2 175 3
2 180 228
2 182 180
2 185 339
2 187 261
2 191 254
2 192 5
2 193 22
2 196 340
3 11 399
3 16 338
3 20 58
3 24 312
3 26 118
3 36 18
3 38 41
3 39 75
3 41 361
3 44 398
3 45 262
3 47 263
3 50 5
3 51 242
3 53 292
3 56 222
3 59 284
3 65 344
3 67 251
3 69 396
3 70 244
3 75 165
3 78 302
3 81 10
3 85 254
3 86 103
3 89 166
3 95 75
3 99 209
3 100 103
3 106 284
3 107 105
3 108 353
3 115 258
3 121 311
3 130 258
3 131 66
3 132 5
3 133 202
3 134 287
3 137 199
3 138 40
3 139 146
3 142 128
3 143 284
3 144 126
3 145 128
3 148 95
3 164 223
3 167 289
3 169 257
3 171 115
3 172 201
3 177 397
3 178 155
3 180 380
3 193 31
3 200 66
4 5 127
4 7 337
4 12 45
4 18 258
4 23 322
4 26 52
4 32 35
4 33 378
4 41 325
4 47 108
4 48 245
4 53 359
4 55 55
4 59 161
4 60 27
4 64 55
4 65 362
4 67 235
4 69 397
4 71 369
4 77 116
4 78 2
4 82 72
4 84 214
4 85 322
4 90 356
4 91 231
4 96 256
4 103 85
4 104 229
4 114 282
4 116 66
4 120 124
4 124 270
4 126 358
4 127 221
4 129 113
4 131 59
4 134 135
4 145 95
4 151 394
4 152 196
4 156 53
4 160 293
4 170 227
4 178 141
4 179 72
4 184 351
4 186 288
4 192 192
4 194 99
4 196 48
4 198 271
4 200 155
5 9 323
5 11 259
5 16 256
5 17 235
5 19 118
5 20 142
5 29 149
5 36 100
5 37 281
5 38 321
5 46 224
5 56 107
5 58 49
5 62 273
5 64 321
5 73 321
5 82 172
5 83 394
5 87 14
5 89 64
5 92 69
5 93 359
5 95 19
5 103 46
5 109 94
5 113 39
5 119 143
5 123 217
5 130 385
5 132 151
5 134 72
5 137 67
5 139 81
5 149 63
5 150 23
5 152 363
5 158 180
5 161 308
5 167 68
5 181 175
5 190 89
6 15 229
6 16 74
6 18 372
6 22 185
6 23 245
6 26 88
6 41 23
6 42 71
6 44 388
6 46 15
6 48 235
6 49 258
6 55 359
6 58 223
6 62 179
6 68 312
6 85 229
6 87 210
6 89 267
6 97 174
6 100 390
6 102 317
6 103 221
6 110 338
6 114 252
6 118 202
6 119 292
6 121 210
6 132 4
6 133 360
6 134 332
6 135 266
6 140 117
6 141 33
6 143 235
6 144 88
6 148 207
6 174 367
6 180 230
6 184 388
6 190 251
6 196 369
6 197 293
6 198 38
6 200 34
7 11 193
7 14 248
7 17 235
7 18 143
7 24 299
7 30 29
7 37 36
7 41 385
7 44 199
7 46 44
7 48 324
7 51 58
7 61 231
7 66 139
7 68 306
7 76 346
7 78 16
7 87 52
7 88 319
7 90 334
7 94 159
7 101 400
7 104 345
7 105 113
7 109 252
7 113 384
7 121 73
7 122 394
7 125 239
7 126 217
7 135 272
7 138 210
7 143 57
7 167 375
7 173 204
7 175 184
7 176 320
7 181 332
7 184 211
7 185 305
7 188 156
7 193 14
7 195 310
7 198 344
8 9 57
8 11 63
8 16 217
8 18 43
8 19 321
8 21 16
8 23 166
8 25 57
8 28 207
8 29 5
8 37 57
8 38 1
8 39 60
8 41 272
8 42 79
8 44 188
8 45 215
8 53 99
8 56 49
8 64 155
8 66 198
8 73 389
8 74 58
8 84 103
8 86 64
8 88 91
8 89 105
8 93 362
8 101 390
8 102 378
8 105 242
8 107 234
8 111 383
8 116 244
8 117 233
8 120 363
8 122 21
8 124 182
8 125 237
8 126 181
8 129 52
8 132 65
8 133 374
8 135 197
8 145 229
8 150 233
8 154 272
8 158 260
8 165 134
8 166 34
8 170 105
8 177 52
8 180 187
8 182 145
8 184 338
8 185 106
8 187 68
8 190 248
8 191 135
8 192 283
8 195 388
8 200 150
9 12 227
9 13 324
9 14 360
9 21 233
9 22 340
9 23 207
9 24 392
9 30 137
9 33 71
9 34 59
9 38 139
9 39 102
9 42 24
9 46 237
9 47 224
9 60 195
9 67 62
9 74 278
9 79 197
9 82 196
9 83 15
9 91 221
9 92 2
9 94 296
9 107 37
9 109 162
9 114 274
9 121 370
9 123 13
9 124 205
9 133 261
9 134 171
9 135 302
9 136 274
9 140 310
9 144 43
9 146 163
9 152 225
9 161 307
9 165 368
9 166 369
9 169 324
9 178 317
9 179 302
9 181 17
9 188 243
9 193 165
9 198 341
9 199 343
10 11 261
10 12 165
10 14 156
10 15 216
10 16 57
10 26 363
10 29 108
10 31 333
10 33 88
10 37 129
10 40 160
10 42 190
10 49 112
10 50 202
10 52 132
10 54 182
10 55 380
10 58 358
10 60 269
10 67 132
10 68 399
10 69 136
10 71 193
10 72 357
10 73 242
10 84 162
10 87 377
10 90 331
10 92 58
10 93 214
10 94 314
10 96 346
10 110 59
10 111 301
10 114 18
10 121 185
10 127 305
10 129 399
10 131 99
10 134 58
10 136 113
10 141 83
10 147 266
10 150 298
10 152 89
10 155 173
10 156 20
10 170 141
10 171 359
10 173 217
10 174 175
10 185 36
10 187 140
10 188 200
10 191 23
10 198 309
11 15 127
11 16 212
11 27 81
11 33 83
11 36 352
11 37 267
11 39 340
11 51 138
11 53 34
11 54 146
11 55 332
11 60 344
11 61 397
11 62 70
11 63 389
11 64 383
11 69 257
11 70 208
11 72 305
11 76 316
11 78 256
11 80 262
11 81 70
11 82 259
11 83 132
11 85 223
11 90 10
11 96 257
11 101 6
11 108 202
11 109 337
11 111 143
11 114 231
11 116 175
11 118 246
11 123 185
11 135 75
11 137 156
11 140 370
11 141 179
11 150 234
11 151 54
11 154 372
11 164 379
11 165 393
11 180 297
11 183 133
11 185 137
11 191 133
11 195 361
12 15 60
12 16 260
12 26 276
12 30 379
12 33 355
12 36 165
12 38 291
12 41 59
12 43 12
12 45 368
12 50 73
12 59 18
12 61 38
12 66 264
12 68 331
12 71 316
12 74 335
12 75 204
12 76 243
12 81 88
12 83 233
12 89 154
12 90 184
12 101 295
12 102 196
12 104 352
12 105 33
12 116 66
12 123 269
12 125 116
12 127 97
12 129 219
12 130 222
12 138 238
12 147 9
12 154 141
12 158 45
12 169 91
12 172 101
12 179 345
12 182 366
12 184 382
12 188 109
13 14 272
13 18 218
13 19 45
13 20 390
13 23 180
13 31 78
13 39 373
13 42 8
13 44 124
13 45 102
13 50 313
13 57 379
13 60 77
13 61 376
13 65 24
13 66 43
13 68 286
13 69 127
13 79 377
13 88 222
13 93 200
13 104 251
13 105 188
13 107 232
13 114 288
13 117 30
13 120 234
13 139 304
13 144 154
13 148 321
13 160 194
13 161 369
13 162 398
13 169 311
13 182 232
13 194 237
13 195 38
14 16 203
14 18 166
14 21 225
14 29 141
14 31 179
14 34 168
14 35 16
14 38 357
14 39 219
14 41 372
14 43 146
14 47 265
14 49 203
14 52 370
14 53 203
14 56 291
14 57 225
14 61 247
14 69 148
14 76 344
14 85 293
14 90 132
14 91 358
